"0 years","Eritrea",6,8,3,4,10,9,77,112,207,324,255,237,258,243,211
"0 years","Eswantini",0,0,0,1,0,0,0,2,0,0,2,0,0,0,0
"0 years","Ethiopia",18,16,20,33,31,33,34,32,39,26,33,33,32,30,24
"0 years","Gabon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Gambia, The",13,7,12,3,9,12,14,13,7,9,5,18,1,5,4
"0 years","Ghana",39,31,27,41,26,41,43,36,41,36,30,42,25,33,29
"0 years","Guinea",0,1,0,1,2,3,4,4,3,3,1,2,3,2,2
"0 years","Guinea-Bissau",0,0,4,1,2,0,2,3,1,2,3,2,2,2,2
"0 years","Cape Verde",0,1,1,0,2,0,0,1,1,0,0,2,1,1,0
"0 years","Kenya",4,11,9,6,10,7,12,16,22,14,26,15,10,17,15
"0 years","Lesotho",0,0,0,0,0,0,0,0,0,1,2,1,0,1,0
"0 years","Liberia",1,3,2,3,2,5,4,1,3,2,7,3,1,4,1
"0 years","Libya",6,9,5,5,5,11,8,15,4,5,3,4,5,7,7
"0 years","Madagascar",0,2,0,0,2,0,0,0,0,2,1,1,0,1,0
"0 years","Malawi",0,3,0,1,1,1,0,0,2,2,0,0,1,0,1
"0 years","Mali",1,1,2,1,2,2,0,0,1,1,0,0,1,0,0
"0 years","Morocco",134,154,130,107,115,113,121,110,100,111,92,74,81,56,61
"0 years","Mauritania",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"0 years","Mauritius",0,1,1,1,0,1,0,0,1,1,1,2,0,1,0
"0 years","Mozambique",0,1,0,0,1,3,0,2,2,0,3,3,3,3,0
"0 years","Namibia",0,0,0,1,0,0,1,0,0,2,0,0,0,0,0
"0 years","Niger",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"0 years","Nigeria",29,25,29,27,33,31,37,35,35,30,20,33,13,34,19
"0 years","Reunion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Rwanda",7,8,7,7,12,5,8,8,8,8,6,7,4,4,12
"0 years","Sao Tome and Principe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Senegal",1,3,2,2,0,3,3,5,1,2,2,0,1,2,2
"0 years","Seychelles",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"0 years","Sierra Leone",8,10,13,7,4,7,9,12,6,8,4,3,3,2,3
"0 years","Saint Helena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Somalia",435,405,358,347,418,380,387,406,344,306,248,222,190,187,151
"0 years","Spanish territories in Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Sudan",12,27,15,18,26,18,19,11,25,24,22,23,22,17,17
"0 years","South Africa",7,11,10,0,11,5,9,10,7,10,12,5,7,10,15
"0 years","South Sudan",0,0,0,0,0,0,1,0,1,0,0,2,1,0,1
"0 years","Southwest Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Tanzania",9,13,12,8,10,10,9,5,10,5,6,6,7,11,8
"0 years","Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Togo",3,2,2,1,1,1,4,1,1,2,2,0,2,5,0
"0 years","Tunisia",23,19,16,23,15,16,10,11,7,13,12,5,11,12,11
"0 years","Uganda",15,15,16,19,20,24,22,26,21,21,26,22,11,14,23
"0 years","Zambia",4,1,4,6,7,5,5,7,1,3,6,3,6,3,2
"0 years","Zimbabwe",3,2,4,2,2,2,3,1,2,2,5,0,1,6,2
"0 years","Equatorial Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Africa not stated",1,0,1,1,2,0,2,0,2,0,0,0,0,0,0
"0 years","Canada",9,11,15,12,14,19,15,10,19,16,14,10,15,12,17
"0 years","USA",31,31,39,46,40,44,47,46,52,35,55,66,50,65,63
"0 years","North America not stated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Argentina",10,7,11,8,2,8,12,6,5,8,6,15,13,28,33
"0 years","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Barbados",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Bolivia",1,0,0,3,1,1,1,2,2,3,3,0,1,2,2
"0 years","Brazil",14,15,15,16,21,13,20,32,23,30,44,44,51,58,60
"0 years","British West Indies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Chile",6,5,4,0,7,2,7,4,4,2,5,5,5,3,7
"0 years","Colombia",4,8,9,10,14,18,19,17,22,19,20,25,17,22,15
"0 years","Costa Rica",0,2,0,0,0,0,3,0,0,1,1,0,2,1,0
"0 years","Cuba",1,1,1,2,4,4,3,5,2,2,1,3,2,7,4
"0 years","Curacao",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Dominica",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"0 years","Dominican Republic",0,0,1,2,1,0,0,1,2,0,4,1,3,2,1
"0 years","Ecuador",5,3,4,2,4,3,3,3,2,5,4,1,2,4,2
"0 years","El Salvador",0,0,1,0,0,1,0,0,0,0,0,0,0,2,0
"0 years","Falkland Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","French Guiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","French West Indies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Guadeloupe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Guatemala",0,1,0,1,0,3,0,0,1,3,1,1,3,2,0
"0 years","Guyana",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"0 years","Haiti",0,0,2,1,0,3,1,0,2,0,2,1,0,0,1
"0 years","Honduras",3,1,1,3,1,0,2,1,2,0,0,1,2,1,1
"0 years","Jamaica",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"0 years","Martinique",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Mexico",3,8,5,5,11,10,13,3,8,10,12,15,12,15,17
"0 years","Nauru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Netherlands Antilles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Nicaragua",3,1,2,0,2,2,1,2,3,3,4,4,2,1,2
"0 years","Panama",0,0,0,1,1,0,1,0,1,1,0,2,0,2,0
"0 years","Paraguay",1,0,0,0,0,1,0,0,2,0,3,0,0,1,0
"0 years","Peru",4,8,9,5,13,5,4,14,6,7,7,5,9,2,8
"0 years","Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Saint Kitts and Nevis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Saint Lucia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Saint Vincent and the Grenadines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Suriname",0,0,0,0,0,0,1,1,0,0,2,2,0,1,0
"0 years","Trinidad and Tobago",2,1,0,0,0,0,1,0,1,0,1,0,0,0,0
"0 years","Uruguay",1,1,0,0,4,1,5,1,1,1,3,1,0,1,0
"0 years","Venezuela",3,1,2,2,5,4,6,4,5,3,7,7,7,6,10
"0 years","West Indies",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"0 years","South and central America not stated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Abu Dhabi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Afghanistan",224,279,293,278,291,307,338,328,327,310,329,342,313,354,320
"0 years","Armenia",6,5,12,9,14,9,13,14,11,6,12,11,7,11,5
"0 years","Azerbaijan",3,3,4,4,5,1,9,6,6,4,6,5,4,4,2
"0 years","Bahrain",2,0,1,1,0,1,1,0,1,0,0,0,1,1,0
"0 years","Bangladesh",19,24,25,24,29,30,47,59,52,71,74,49,68,60,76
"0 years","Bhutan",10,3,18,16,12,13,14,19,10,13,9,7,11,9,7
"0 years","Brunei",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"0 years","Cambodia",4,4,4,4,3,3,2,4,7,5,4,2,1,3,2
"0 years","Dubai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Philippines",48,53,39,48,45,55,75,54,67,72,63,60,68,62,60
"0 years","United Arab Emirates",15,11,7,7,6,5,5,11,6,9,7,8,8,3,5
"0 years","Gaza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Georgia",2,4,0,0,1,2,4,3,3,2,2,2,3,3,4
"0 years","Hong Kong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","India",72,98,112,104,119,158,173,203,221,241,282,262,262,293,311
"0 years","Indochina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Indonesia",11,10,13,12,13,21,22,17,23,20,16,21,14,15,11
"0 years","Iraq",472,475,434,407,424,443,390,392,378,413,354,384,350,323,283
"0 years","Iran",113,111,122,122,133,155,133,194,201,161,177,161,185,149,148
"0 years","Israel",14,15,6,5,6,13,15,12,13,8,7,13,4,9,11
"0 years","Japan",10,12,7,7,9,6,9,16,5,11,15,7,17,8,13
"0 years","Jordan",30,20,23,16,24,15,21,21,26,18,15,11,17,10,13
"0 years","Kazakhstan",1,5,4,7,3,5,3,3,3,7,7,10,7,5,7
"0 years","China",90,130,149,171,152,189,176,180,229,174,196,156,124,110,94
"0 years","Kyrgyzstan",1,1,1,0,0,1,1,1,0,1,0,1,1,3,3
"0 years","Kuwait",56,55,38,36,43,40,39,31,42,32,33,16,28,25,12
"0 years","Laos",1,0,0,1,0,0,1,1,0,0,2,0,0,0,0
"0 years","Lebanon",371,359,333,304,274,252,242,227,204,184,165,136,120,97,76
"0 years","Macao",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Malaysia",6,3,6,8,7,7,8,5,4,7,4,8,7,4,7
"0 years","Maldives",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Middle East not stated",2,2,2,4,2,2,1,6,3,4,0,2,1,1,1
"0 years","Mongolia",1,0,0,0,0,2,0,0,1,1,0,1,0,0,0
"0 years","Myanmar",49,50,69,63,68,75,64,47,47,49,29,23,28,30,23
"0 years","Nepal",19,26,27,32,64,67,93,80,127,144,139,104,141,149,158
"0 years","North Korea",1,2,1,1,0,3,5,6,3,1,2,1,2,2,1
"0 years","North Yemen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Oman",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"0 years","Pakistan",229,247,221,233,260,296,286,298,316,306,276,242,231,225,191
"0 years","Palestine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"0 years","Qatar",4,3,0,3,1,0,1,1,0,2,1,1,1,0,1
"0 years","Saudi Arabia",6,4,6,4,5,5,16,9,10,6,16,12,8,11,9
"0 years","Sikkim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Singapore",6,4,3,4,1,3,2,3,3,4,1,3,6,2,7
"0 years","Sri Lanka",143,131,132,118,98,110,103,86,81,93,69,70,62,48,43
"0 years","South Korea",32,46,27,35,46,41,48,44,36,44,31,43,31,32,27
"0 years","Syria",67,75,81,129,165,287,556,1239,1287,1120,905,907,906,699,661
"0 years","Tajikistan",0,0,0,0,2,1,0,0,1,0,1,2,0,1,2
"0 years","Taiwan",0,1,1,1,2,0,2,3,3,2,3,5,6,2,3
"0 years","Thailand",53,59,48,59,55,55,60,52,51,59,49,48,58,58,52
"0 years","Trucial Oman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Turkmenistan",0,0,0,0,2,1,0,1,1,0,0,0,1,0,1
"0 years","Uzbekistan",10,6,11,8,5,10,6,9,9,7,7,10,10,4,6
"0 years","West Bank",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","West bank and Gaza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Vietnam",212,172,176,165,134,127,130,106,94,99,80,85,55,59,58
"0 years","Yemen",1,2,2,1,3,2,6,4,1,5,5,3,0,3,4
"0 years","East Jerusalem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Asia not stated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Australia",6,6,8,7,12,4,4,10,16,14,12,15,19,13,9
"0 years","Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Fiji",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"0 years","French territories in the Pacific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","New Zealand",1,1,2,3,3,1,3,4,2,3,4,3,5,6,3
"0 years","Papua New Guinea",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"0 years","Solomon Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Tonga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 years","Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
